,id,ticker,date,side,strike,bidPrice,askPrice,delta,theta,gamma,volatility,description,assetType,symbol,short_trade,executed,trader,channel,time,closing
0,9fa087b6243f11eb942d3800255995ba,AMD,11/20,CALLS,82.0,1.58,1.6,0.3941,-0.1144,0.0647,44.8099,AMD Nov 20 2020 82 Call,OPTION,AMD_112020C82,False,False,SammySnipes,sammysnipes-trades🎯,2020-11-11 12:02:04.702170,False
1,9fa087b6243f11eb942d3800255995ba,AMD,11/20,CALLS,82.0,1.87,1.88,0.4435,-0.1165,0.067,44.0249,AMD Nov 20 2020 82 Call,OPTION,AMD_112020C82,False,False,SammySnipes,sammysnipes-trades🎯,2020-11-11 12:02:04.702170,True
2,9fa936b6243f11eb942d3800255995ba,WKHS,11/20,PUTS,19.0,1.45,1.5,0.3941,-0.1144,0.0647,44.8099,WKHS Nov 20 2020 19 Put,OPTION,WKHS_112020P19,False,False,Engine Trades,engine-trades,2020-11-11 12:02:04.702170,False
3,1c062c2624f611eb88613800255995ba,BA,11/13,CALLS,185.0,1.4,1.51,0.3126,-0.6744,0.0465,56.8443,BA Nov 13 2020 185 Call (Weekly),OPTION,BA_111320C185,False,False,SammySnipes,risky-trades😅,2020-11-12 09:48:22.085743,False
4,8bccca7824f611eba6f03800255995ba,FPRX,11/20,PUTS,20.0,2.55,2.8,-0.3376,-0.1874,0.0392,270.2437,FPRX Nov 20 2020 20 Put,OPTION,FPRX_112020P20,False,False,cMoney💰,request-bot🤖,2020-11-12 09:51:30.120645,False
5,0834445d24f711ebbb3f3800255995ba,BA,11/13,CALLS,180.0,2.75,2.92,0.525,-0.6719,0.059,50.5739,BA Nov 13 2020 180 Call (Weekly),OPTION,BA_111320C180,False,False,Eddy_Trades,members-trades-and-spreads🔌,2020-11-12 09:54:58.039447,False
6,c4e8a90e24f911eb9ac33800255995ba,NET,11/20,CALLS,65.0,2.45,2.6,0.5163,-0.1432,0.0617,63.4166,NET Nov 20 2020 65 Call,OPTION,NET_112020C65,False,False,SammySnipes,sammysnipes-trades🎯,2020-11-12 10:14:33.897570,False
7,f4ec77c724f911ebbf1c3800255995ba,PLUG,11/13,PUTS,23.0,0.49,0.51,-0.3966,-0.1625,0.2285,97.4777,PLUG Nov 13 2020 23 Put (Weekly),OPTION,PLUG_111320P23,False,False,cMoney💰,request-bot🤖,2020-11-12 10:15:54.195724,False
8,f4ec77c724f911ebbf1c3800255995ba,PLUG,11/13,PUTS,23.0,0.57,0.59,-0.4473,-0.1646,0.2373,97.1835,PLUG Nov 13 2020 23 Put (Weekly),OPTION,PLUG_111320P23,False,False,cMoney💰,request-bot🤖,2020-11-12 10:15:54.195724,True
9,1c062c2624f611eb88613800255995ba,BA,11/13,CALLS,185.0,0.77,0.9,0.2272,-0.4958,0.0459,49.3859,BA Nov 13 2020 185 Call (Weekly),OPTION,BA_111320C185,False,False,SammySnipes,risky-trades😅,2020-11-12 09:48:22.085743,True
